"Story","Title","Result","Date","Stability","Duration (s)"
"When user access page","A when http redirect https testcase 4","FAILURE","2017-11-07T20:12:34.726+08:00[Asia/Singapore]","0.0","4.66"
"When user access page","A when http redirect https testcase 5","FAILURE","2017-11-07T20:12:39.601+08:00[Asia/Singapore]","0.0","4.26"
